"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Time Perception: A Review on Psychological, Computational, and Robotic Models","H. Basgol; I. Ayhan; E. Ugur","Department of Cognitive Science, Bogazici University, Istanbul, Turkey; Department of Psychology, Bogazici University, Istanbul, Turkey; Department of Computer Engineering, Bogazici University, Istanbul, Turkey",IEEE Transactions on Cognitive and Developmental Systems,"10 Jun 2022","2022","14","2","301","315","Animals exploit time to survive in the world. Temporal information is required for higher level cognitive abilities, such as planning, decision making, communication, and effective cooperation. Since time is an inseparable part of cognition, there is a growing interest in the artificial intelligence approach to subjective time, which has a possibility of advancing the field. The current survey study aims to provide researchers with an interdisciplinary perspective on time perception. First, we introduce a brief background from the psychology and neuroscience literature, covering the characteristics and models of time perception and related abilities. Second, we summarize the emergent computational and robotic models of time perception. A general overview to the literature reveals that a substantial amount of timing models are based on a dedicated time processing like the emergence of a clock-like mechanism from the neural network dynamics and reveals a relationship between the embodiment and time perception. We also notice that most models of timing are developed for either sensory timing (i.e., ability to assess an interval) or motor timing (i.e., ability to reproduce an interval). The number of timing models capable of retrospective timing, which is the ability to track time without paying attention, is insufficient. In this light, we discuss the possible research directions to promote the interdisciplinary collaboration in the field of time perception.","2379-8939","","10.1109/TCDS.2021.3059045","Bogazici Research Projects (BAP), Project titled “A Computational Model of Event Learning and Segmentation: Event Granularity, Sensory Reliability and Expectation”(grant numbers:20A01P2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9353685","Cognitive science;computational models;emergent models;interval timing;robotic models;time perception","Timing;Computational modeling;Animals;Robots;Robot sensing systems;Task analysis;Standards","","14","","141","IEEE","12 Feb 2021","","","IEEE","IEEE Journals"
"Proactive Robotic Assistance via Theory of Mind","M. Shvo; R. Hari; Z. O'Reilly; S. Abolore; S. -Y. N. Wang; S. A. McIlraith",University of Toronto; University of Toronto; Italian Institute of Technology; University of Toronto; University of Toronto; University of Toronto,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"26 Dec 2022","2022","","","9148","9155","Advanced social cognitive skills enhance the effectiveness of human-robot interactions. Research shows that an important precursor to the development of these abilities in humans is Theory of Mind (ToM) - the ability to attribute mental states to oneself and to others. In this work, we endow robots with ToM abilities and propose a ToM-based approach to proactive robotic assistance by appealing to epistemic planning techniques. Our evaluation shows that robots implementing our approach and demonstrating ToM are measurably more helpful and perceived by humans as more socially intelligent compared to robots with a deficit in ToM.","2153-0866","978-1-6654-7927-1","10.1109/IROS47612.2022.9981627","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981627","","Human-robot interaction;Planning;Intelligent robots","","13","","59","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Unknown Object Grasping for Assistive Robotics","E. Miller; M. Durner; M. Humt; G. Quere; W. Boerdijk; A. M. Sundaram; F. Stulp; J. Vogel",DLR Institute of Robotics and Mechatronics; DLR Institute of Robotics and Mechatronics; DLR Institute of Robotics and Mechatronics; DLR Institute of Robotics and Mechatronics; DLR Institute of Robotics and Mechatronics; DLR Institute of Robotics and Mechatronics; DLR Institute of Robotics and Mechatronics; DLR Institute of Robotics and Mechatronics,2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","18157","18163","We propose a novel pipeline for unknown object grasping in shared robotic autonomy scenarios. State-of-the-art methods for fully autonomous scenarios are typically learning-based approaches optimised for a specific end-effector, that generate grasp poses directly from sensor input. In the domain of assistive robotics, we seek instead to utilise the user’s cognitive abilities for enhanced satisfaction, grasping performance, and alignment with their high level task-specific goals. Given a pair of stereo images, we perform unknown object instance segmentation and generate a 3D reconstruction of the object of interest. In shared control, the user then guides the robot end-effector across a virtual hemisphere centered around the object to their desired approach direction. A physics-based grasp planner finds the most stable local grasp on the reconstruction, and finally the user is guided by shared control to this grasp. In experiments on the DLR EDAN platform, we report a grasp success rate of 87% for 10 unknown objects, and demonstrate the method’s capability to grasp objects in structured clutter and from shelves.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611347","Ministry of Economic Affairs; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611347","","Three-dimensional displays;Shape;Pipelines;Grasping;Robot sensing systems;Cognitive load;End effectors","","2","","33","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"A Methodology to Assess the Human Factors Associated with Lunar Teleoperated Assembly Tasks","A. Kumar; M. Bell; B. Mellinkoff; A. Sandoval; W. B. Martin; J. Burns","Center for Astrophysics and Space Astronomy, University of Colorado Boulder, Boulder, CO; Center for Astrophysics and Space Astronomy, University of Colorado Boulder, Boulder, CO; Center for Astrophysics and Space Astronomy, University of Colorado Boulder, Boulder, CO; Ball Aerospace, 10 Longs Peak Drive, Broomfield, CO; Engineering Management Program, University of Colorado Boulder, Boulder, CO; Center for Astrophysics and Space Astronomy, University of Colorado Boulder, Boulder, CO",2020 IEEE Aerospace Conference,"21 Aug 2020","2020","","","1","12","Low-latency telerobotics can enable more intricate surface tasks on extraterrestrial planetary bodies than has ever been previously attempted. In order for humanity to create a sustainable lunar presence, well-developed collaboration between humans and robots is necessary to perform complex tasks. This paper presents a methodology to assess the human factors, situational awareness (SA) and cognitive load (CL), associated with teleoperated assembly tasks. Currently, telerobotic assembly on an extraterrestrial body has never been attempted, and a valid methodology to assess the associated human factors has not been developed. The Telerobotics Laboratory at the University of Colorado-Boulder created the Telerobotic Simulation System (TSS) which enables remote operation of a rover and a robotic arm. The TSS was used in a laboratory experiment designed as an analog to a lunar mission. The operator's task was to assemble a radio interferometer. Each participant completed this task under two conditions, remote teleoperation (limited SA) and local operation (optimal SA). The goal of this experiment was to establish a methodology to accurately measure the operator's SA and CL while performing teleoperated assembly tasks. A successful methodology would yield results showing greater SA and lower CL while operating locally. Performance metrics measured in this experiment showed greater SA and lower CL in the local environment, supported by a 27% increase in the mean time to completion of the assembly task when operating remotely. Subjective measurements of SA and CL did not align with the performance metrics. This brought into question the validity of the subjective assessments used in this experiment when applied to telerobotic assembly tasks. Results from this experiment will guide future work attempting to accurately quantify the human factors associated with telerobotic assembly. Once an accurate methodology has been developed, we will be able to measure how new variables affect an operator's SA and CL in order to optimize the efficiency and effectiveness of telerobotic assembly tasks.","1095-323X","978-1-7281-2734-7","10.1109/AERO47225.2020.9172667","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9172667","","Atmospheric measurements;Moon;Human factors;Radio interferometry;Extraterrestrial measurements;Particle measurements;Manipulators","","2","","35","IEEE","21 Aug 2020","","","IEEE","IEEE Conferences"
"Immersive Technologies for Human-in-the-Loop Lunar Surface Simulations","L. K. Bingham; A. D. Garcia; J. A. Kincaid; B. M. Weno; C. D. Foreman; B. N. Bell; T. W. Hunt; N. R. Davis; N. G. McHenry; W. C. Young; K. L. Tooher","NASA, NASA, Johnson Space Center, Houston, TX; NASA, NASA, Johnson Space Center, Houston, TX; METECS, NASA, Johnson Space Center, Houston, TX; METECS, NASA, Johnson Space Center, Houston, TX; METECS, NASA, Johnson Space Center, Houston, TX; CACI, NASA, Johnson Space Center, Houston, TX; CACI, NASA, Johnson Space Center, Houston, TX; METECS, NASA, Johnson Space Center, Houston, TX; CACI, NASA, Johnson Space Center, Houston, TX; CACI, NASA, Johnson Space Center, Houston, TX; NASA, NASA, Johnson Space Center, Houston, TX",2024 IEEE Aerospace Conference,"13 May 2024","2024","","","1","12","NASA, the National Aeronautics and Space Administration, continually seeks innovative solutions to enhance its operations, particularly in the realms of testing, evaluation, and training for future missions. Immersive technologies, such as virtual, augmented, and mixed reality have proven to be powerful tools for immersing users in realistic, interactive, and engaging environments. This paper explores how the Simulation and Graphics Branch at NASA’s Johnson Space Center (JSC) leverages immersive technology, modern commercial rendering engines, and physics-based systems simulations to develop human-in-the-loop systems for humanity’s return to the Moon through the Artemis program.When NASA returns to the Moon, astronauts will travel to the Moon’s South Pole where lighting conditions will cause a more complex operational environment. Human-in-the-loop simulations play a crucial role in NASA’s mission planning, spacecraft and space systems development, and evaluation of operational scenarios. The development of immersive environments such as a lunar rover mockup at a video wall enables engineers and astronauts to simulate and experience mission scenarios, integrated spacecraft systems, and operational procedures in a relevant environment before deployment. By integrating realistic virtual environments, immersive technology allows for the visualization and interaction with virtual spacecraft models, mission landscapes, and complex operational tasks. This approach helps identify potential design flaws, operational challenges, and safety considerations. It also provides valuable insights for risk reduction and helps improve mission efficiency and effectiveness. With advanced motion tracking systems and custom virtual environments, data can be gathered and evaluated to help NASA refine training protocols, develop specialized training procedures, and optimize human-robotic interactions for future space missions. Furthermore, immersive technology offers opportunities for future training initiatives at NASA.The Virtual Reality Laboratory at JSC has pioneered training with Virtual Reality (VR) since the Hubble Space Telescope repair missions in the early 1990’s. Extended Reality (XR) simulations enable astronauts to rehearse complex spacewalks, spacecraft maneuvers, and extravehicular activities in a safe and controlled environment. By replicating the physical and cognitive challenges of space missions, immersive training experiences enhance astronauts’ situational awareness, decision-making abilities, and adaptability to unexpected scenarios. Additionally, immersive technology facilitates collaborative training, allowing geographically dispersed crew and mission control personnel to engage in synchronized simulations, fostering teamwork and effective communication.The adoption of immersive technology in NASA’s testing, evaluation, and future training programs has yielded significant benefits. By incorporating human-in-the-loop simulations for studies involving Extra Vehicular Activities (EVA), surface mobility and landing systems, NASA can identify and mitigate risks, optimize operational procedures, and enhance mission success. Ultimately, immersive simulation experiences can empower astronauts to better navigate the complexities of space missions, ensuring their safety, productivity, and success in the dynamic and challenging environments they will experience at the Lunar South Pole.","1095-323X","979-8-3503-0462-6","10.1109/AERO58975.2024.10521209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10521209","","Training;Space vehicles;South Pole;Space missions;Moon;NASA;Virtual environments","","2","","21","USGov","13 May 2024","","","IEEE","IEEE Conferences"
"Partially Observable Markov Decision Processes in Shared Autonomy Applications: A Survey","S. Shaldambayeva; K. Zhumakhanova; A. Sandygulova; M. Rubagotti; A. Shintemirov","Department of Robotics, School of Engineering and Digital Sciences, Nazarbayev University, Astana, Kazakhstan; Department of Computer Vision, Mohamed bin Zayed University of Artificial Intelligence, Abu Dhabi, United Arab Emirates; Department of Robotics, School of Engineering and Digital Sciences, Nazarbayev University, Astana, Kazakhstan; Department of Robotics, School of Engineering and Digital Sciences, Nazarbayev University, Astana, Kazakhstan; Department of Robotics, School of Engineering and Digital Sciences, Nazarbayev University, Astana, Kazakhstan",IEEE Access,"5 Nov 2025","2025","13","","186937","186951","Shared autonomy consists of a collaborative effort between a human user and a robotic system having a shared goal, in which the human-controlled robot adapts its behaviour to provide assistive actions. For effective assistance, shared autonomy systems are required to infer human goals and/or cognitive states from their inputs. Partially observable Markov decision processes (POMDPs) offer a rich mathematical framework for formulating the above-mentioned planning problems under uncertainty. This paper presents a systematic review on the reported applications of POMDPs in the shared-autonomy context. Various aspects of the current scientific literature have been analysed to determine common shared-autonomy scenarios, implementation of human parameters in POMDPs and assessment methodologies. The effectiveness and limitations of POMDP approach for shared autonomy systems are also discussed.","2169-3536","","10.1109/ACCESS.2025.3625601","Ministry of Science and Higher Education of Kazakhstan(grant numbers:AP23486847); Nazarbayev University through the Faculty-Development Competitive Research Grant Program (FDCRGP)(grant numbers:021220FD1751); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11217978","Partially observable Markov decision process (POMDP);shared autonomy;shared control","Robots;Surveys;Markov decision processes;Uncertainty;Collaboration;Probabilistic logic;Human-robot interaction;Analytical models;Motors;Mobile robots","","","","68","CCBY","27 Oct 2025","","","IEEE","IEEE Journals"
"A Hybrid Deep Sensor Anomaly Detection for Autonomous Vehicles in 6G-V2X Environment","S. B. Prathiba; G. Raja; S. Anbalagan; A. K. S; S. Gurumoorthy; K. Dev","NGNLab, Department of Computer Technology, Anna University, Chennai, India; NGNLab, Department of Computer Technology, Anna University, Chennai, India; Centre for Smart Grid Technologies, School of Computer Science and Engineering, Vellore Institute of Technology, Chennai, India; Department of Computer Science and Engineering, St. Joseph's Institute of Technology, Chennai, India; NGNLab, Department of Computer Technology, Anna University, Chennai, India; Department of Institute of Intelligent Systems, University of Johannesburg, Auckland Park, South Africa",IEEE Transactions on Network Science and Engineering,"24 Apr 2023","2023","10","3","1246","1255","Autonomous Vehicles (AVs) exchange real-time and seamless data between other AVs and the network, thus revolutionizing the Intelligent Transportation System (ITS). Automated transportation brings numerous benefits to human beings. However, the concerns such as safety, security, and privacy keep rising. In navigation and trajectory planning, the AVs require exchanging sensory information from their own and other AVs. In such cases, when a malicious AV or faulty sensor-equipped AV comes into connectivity, it can have disruptive consequences. This paper proposes a Hybrid Deep Anomaly Detection (HDAD) approach for effective anomaly detection and cyber-attack mitigation in AVs. The Multi-Agent Reinforcement Learning (MARL) algorithm in HDAD approach acts over the 6G network to combat new-age cyber-attacks and provide a swift and accurate anomaly detection mechanism. In conjunction with Maximum Entropy Inverse Reinforcement Learning (MaxEntIRL), the HDAD approach identifies and isolates malicious AVs. It is envisioned that the obtained results prove the effectiveness of HDAD and have an 8.2% higher accuracy rate than the existing systems.","2327-4697","","10.1109/TNSE.2022.3188304","NGNLab; Department of Computer Technology; Anna University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9815151","6G-V2X;autonomous vehicles;anomaly detection;hybrid deep reinforcement learning;multi-agent reinforcement learning;maximum entropy inverse reinforcement learning","Anomaly detection;6G mobile communication;Behavioral sciences;Security;Reinforcement learning;Real-time systems;Entropy","","46","","39","IEEE","4 Jul 2022","","","IEEE","IEEE Journals"
"A Hierarchical Hybrid Learning Framework for Multi-Agent Trajectory Prediction","Y. Jiao; M. Miao; Z. Yin; C. Lei; X. Zhu; X. Zhao; L. Nie; B. Tao","School of Automotive Engineering, the Hubei Key Laboratory of Advanced Technology for Automotive Components, the Hubei Collaborative Innovation Center for Automotive Components Technology, and the Hubei Research Center for New Energy and Intelligent Connected Vehicle, Wuhan University of Technology, Wuhan, China; School of Automotive Engineering, the Hubei Key Laboratory of Advanced Technology for Automotive Components, the Hubei Collaborative Innovation Center for Automotive Components Technology, and the Hubei Research Center for New Energy and Intelligent Connected Vehicle, Wuhan University of Technology, Wuhan, China; School of Automotive Engineering, the Hubei Key Laboratory of Advanced Technology for Automotive Components, the Hubei Collaborative Innovation Center for Automotive Components Technology, and the Hubei Research Center for New Energy and Intelligent Connected Vehicle, Wuhan University of Technology, Wuhan, China; School of Automotive Engineering, the Hubei Key Laboratory of Advanced Technology for Automotive Components, the Hubei Collaborative Innovation Center for Automotive Components Technology, and the Hubei Research Center for New Energy and Intelligent Connected Vehicle, Wuhan University of Technology, Wuhan, China; School of Automotive Engineering, the Hubei Key Laboratory of Advanced Technology for Automotive Components, the Hubei Collaborative Innovation Center for Automotive Components Technology, and the Hubei Research Center for New Energy and Intelligent Connected Vehicle, Wuhan University of Technology, Wuhan, China; School of Automotive Engineering, the Hubei Key Laboratory of Advanced Technology for Automotive Components, the Hubei Collaborative Innovation Center for Automotive Components Technology, and the Hubei Research Center for New Energy and Intelligent Connected Vehicle, Wuhan University of Technology, Wuhan, China; School of Automotive Engineering, the Hubei Key Laboratory of Advanced Technology for Automotive Components, the Hubei Collaborative Innovation Center for Automotive Components Technology, and the Hubei Research Center for New Energy and Intelligent Connected Vehicle, Wuhan University of Technology, Wuhan, China; School of Automotive Engineering, the Hubei Key Laboratory of Advanced Technology for Automotive Components, the Hubei Collaborative Innovation Center for Automotive Components Technology, and the Hubei Research Center for New Energy and Intelligent Connected Vehicle, Wuhan University of Technology, Wuhan, China",IEEE Transactions on Intelligent Transportation Systems,"2 Aug 2024","2024","25","8","10344","10354","Accurate trajectory prediction for neighboring agents is crucial for autonomous vehicles navigating complex scenes. Recent deep learning (DL) methods excel in encoding complex interactions but often generate invalid predictions due to difficulties in modeling transient and contingency interactions. This paper proposes a hierarchical hybrid framework that combines DL and reinforcement learning (RL) for multi-agent trajectory prediction, capturing multi-scale interactions that shape future motion. In the DL stage, Transformer-style graph neural network (GNN) is employed to encode heterogeneous interactions at intermediate and global scales, predicting multi-modal intentions as key future positions for agents. In the RL stage, we divide the scene into local scenes based on DL predictions. A Transformer-based Proximal Policy Optimization (PPO) model, incorporated with vehicle kinematics, generates future trajectories in the form of motion planning shaped by microscopic interactions and guided by a multi-objective reward for balanced agent-centric accuracy and scene-wise compatibility. Experimental results on the Argoverse benchmark and driver-in-loop simulations demonstrate that our framework enhances trajectory prediction feasibility and plausibility in interactive scenes.","1558-0016","","10.1109/TITS.2024.3357479","Key Research and Development Program of the Ministry of Science and Technology of China(grant numbers:2022YFB2502901); National Natural Science Foundation of China(grant numbers:51805388); Hubei Province Key Research and Development Program Project(grant numbers:2022BAA081); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423882","Trajectory prediction;multi-scale interactions;hybrid framework","Trajectory;Predictive models;Planning;Microscopy;Deep learning;Behavioral sciences","","10","","55","IEEE","7 Feb 2024","","","IEEE","IEEE Journals"
"A Scalable Mean-Field MARL Framework for Multi-Objective V2X Resource Allocation","X. Zhang; H. Zhang; H. Tang; L. Liang; L. Cheng; X. Chen; W. Ding; X. -P. Zhang","Shenzhen Ubiquitous Data Enabling Key Lab, Tsinghua-Berkeley Shenzhen Institute, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shenzhen Ubiquitous Data Enabling Key Lab, Tsinghua-Berkeley Shenzhen Institute, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shenzhen Ubiquitous Data Enabling Key Lab, Tsinghua-Berkeley Shenzhen Institute, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; National Mobile Communications Research Laboratory, Frontiers Science Center for Mobile Information Communication and Security, Southeast University, Nanjing, China; School of Electrical and Information Engineering, University of the Witwatersrand, Johannesburg, South Africa; Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shenzhen Ubiquitous Data Enabling Key Lab, Tsinghua-Berkeley Shenzhen Institute, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China; Shenzhen Ubiquitous Data Enabling Key Lab, Tsinghua-Berkeley Shenzhen Institute, Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China",IEEE Transactions on Intelligent Vehicles,"30 Jul 2025","2025","10","2","1071","1086","Resource allocation in dense vehicle-to-everything (V2X) communication networks poses intricate challenges due to scalability issues, dynamic environments, and diverse quality of service requirements. Traditional optimizations like genetic algorithms struggle with computational complexity and dynamic planning. Meanwhile, pure multi-agent reinforcement learning (MARL)—a type of machine learning where multiple agents learn to optimize their decisions through interactions with each other and the environment—faces the curse of dimensionality and communication overhead, which limits the large-scale deployment of dynamic vehicular networks. This paper proposes an innovative approach to joint spectrum allocation and power control within dense V2X networks, conceptualizing it as an MARL-based multi-objective optimization problem. To mitigate computational demands, we adopt a hybrid approach combining centralized-training-with-decentralized-execution paradigm, alongside parameter-sharing techniques, within classic Mean-Field MARL (MF-MARL) framework, and name it Scalable-V2X-MF-MARL (ScalV-MF-MARL), enabling a lightweight training process in dense V2X networks with numerous V2V agents. It also technically encodes observations and mean field of actions, thereby enhancing the model's dynamism and scalability. This advancement permits the application of a single model across varying vehicle densities. Experimental results demonstrate that ScalV-MF-MARL achieves 99.5% of the performance of density-specific MF-MARL models, while reducing GPU memory usage by 79.49% to 94.03% during training as vehicle number increases from 40 to 160. Additionally, it outstrips conventional algorithms. Its generalization capabilities across diverse V2X network densities facilitate training in less dense scenarios, with seamless application to denser networks. In conclusion, ScalV-MF-MARL streamlines the V2X network deployment and effectively handles dynamic changes in vehicle numbers.","2379-8904","","10.1109/TIV.2024.3422506","Shenzhen Key Laboratory of Ubiquitous Data Enabling(grant numbers:ZDSYS20220527171406015); Guangdong Innovative and Entrepreneurial Research Team Program(grant numbers:2021ZT09L197); Shenzhen Science and Technology Program(grant numbers:JCYJ20220530143013030); Shenzhen 2022 Stabilization Support Program(grant numbers:WDZC20220811103500001); Tsinghua Shenzhen International Graduate School-Shenzhen Pengrui Young Faculty Program; Shenzhen Pengrui Endowed Professorship Scheme of Shenzhen Pengrui Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10584331","Resource allocation;dense V2X networks;mean-field theory;multi-agent reinforcement learning;scalable model","Vehicle-to-everything;Resource management;Training;Vehicle dynamics;Quality of service;Optimization;Computational modeling","","3","","61","IEEE","3 Jul 2024","","","IEEE","IEEE Journals"
"An Agent-Based Approach for Dynamic Scheduling in Hybrid Flow Shops","X. Zhang; X. Sun; Y. Liu; C. Zhang; L. Zhao; W. Shen","School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China",2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design (CSCWD),"28 May 2021","2021","","","24","30","Today, manufacturing enterprises must respond quickly to the ever-changing market environment in order to survive. At the same time, dynamic disturbances in production sites such as machine failures, reworking caused by quality problems, and changes of processing time and personnel will also have negative impacts on the effectiveness of the original plan. In order to ensure the feasibility of scheduling algorithms in highly dynamic environment, this paper presents agent-based rescheduling negotiation mechanisms with five dynamic disturbances, and verifies its feasibility through simulations. A multi-agent system structure with quick responses and simple communication networks is designed according to characteristics of hybrid flow shops, with which the processing of jobs can be easily traced back.","","978-1-7281-6597-4","10.1109/CSCWD49262.2021.9437879","National Natural Science Foundation of China(grant numbers:U20A6004,51905199); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9437879","Dynamic scheduling;Rescheduling;Hybrid flow shop;Multi-agent system;Negotiation mechanisms","Scheduling algorithms;Heuristic algorithms;Conferences;Computational modeling;Production;Dynamic scheduling;Manufacturing","","2","","17","IEEE","28 May 2021","","","IEEE","IEEE Conferences"
"An Operator-Centric Framework for Risk-Aware Low-Altitude Urban Security: a UAV-as-a-Service Approach","E. Zhang; J. Ding; X. Zhan; K. Jin; S. Nie; Z. Li; Y. Xing; C. Wang; N. Yin; X. Zhang; H. Jiang; X. Li","China Mobile Group Anhui Company Limited (China Mobile Group Anhui Co., Ltd.), Hefei, China; School of Automotive and Transportation Engineering, Hefei University of Technology, Hefei, China; School of Automotive and Transportation Engineering, Hefei University of Technology, Hefei, China; China Mobile Information Technology Co., Ltd., Beijing, China; China Mobile Information Technology Co., Ltd., Beijing, China; China Mobile Group Anhui Company Limited (China Mobile Group Anhui Co., Ltd.), Hefei, China; China Mobile Group Anhui Company Limited (China Mobile Group Anhui Co., Ltd.), Hefei, China; Research Institute, China Academy of Information and Communications Technology, Beijing, China; DNC Central China Regional Project Department, AsiaInfo Technologies Limited, Beijing, China; DNC Central China Regional Project Department, AsiaInfo Technologies Limited, Beijing, China; School of Automotive and Transportation Engineering, Hefei University of Technology, Hefei, China; DNC Central China Regional Project Department, AsiaInfo Technologies Limited, Beijing, China",2025 IEEE International Conference on High Performance Computing and Communications (HPCC),"31 Oct 2025","2025","","","1558","1563","The proliferation of Unmanned Aerial Vehicles (UAVs) for urban public safety is critically hindered by operational risks inherent in complex environments. To address these challenges, this paper introduces a “UAV-as-a-Service” (UaaS) paradigm, an application paradigm innovation that leverages the core infrastructure of telecom operators. Our primary contribution is a closed-loop intelligent method, representing an algorithmic innovation, centered on a 3D Dynamic Risk Map (DRM). The DRM is generated in real-time by a Dynamic Bayesian Network (DBN) and explicitly informs both a risk-aware Multi-Agent Reinforcement Learning (MARL) dispatcher and a hybrid Rapidly-exploring Random Tree Star (RRT*)-Model Predictive Control (MPC) path planner. This tight coupling ensures that tactical decisions are grounded in a holistic understanding of risk. Simulation results demonstrate that the proposed UaaS model substantially enhances operational outcomes, reducing the time to achieve critical situational awareness by over 75 % and decreasing firefighter risk exposure by $\mathbf{7 8 \%}$. These technical advancements validate a novel and viable Business-to-Government (B2G) service model, demonstrating significant technologycommercial synergy.","","979-8-3315-6874-0","10.1109/HPCC67675.2025.00229","Natural Science Foundation of China(grant numbers:52472312); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11207310","UAV-as-a-Service (UaaS);Low-Altitude Security;Risk-Aware Path Planning;Multi-Agent Reinforcement Learning (MARL);Dynamic Risk Map (DRM)","Technological innovation;Three-dimensional displays;Heuristic algorithms;Reinforcement learning;Autonomous aerial vehicles;Public security;Telecommunications;Security;Time factors;Vehicle dynamics","","","","10","IEEE","31 Oct 2025","","","IEEE","IEEE Conferences"
"Hybrid Beamforming for C-NOMA-Enabled Multi-UAVs in 6G IoT Networks","M. Hevesli; A. M. Seid; M. Abdallah; A. Erbad","Division of Information and Computing Technology, College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; Division of Information and Computing Technology, College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; Division of Information and Computing Technology, College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; College of Engineering, Qatar University, Doha, Qatar",ICC 2025 - IEEE International Conference on Communications,"26 Sep 2025","2025","","","1304","1309","The advent of $\mathbf{6 G}$ Internet of Things (IoT) networks demands ultra-reliable, energy-efficient communications to support the massive integration of connected devices. Non-orthogonal multiple access (NOMA) has emerged as a key technology to improve spectral efficiency (SE) by allowing multiple IoT devices (IDs) to share the same frequency resource block through power-domain multiplexing. However, as the number of IDs increases, NOMA faces significant interference challenges, which limit its scalability and degrade system performance. To address these limitations, we propose a clustered NOMA (C-NOMA) framework, which organizes IDs into clusters and applies NOMA within each cluster, reducing interference and improving the effectiveness of successive interference cancellation (SIC). Additionally, we integrate hybrid beamforming (HBF) with C-NOMA, where unmanned aerial vehicles (UAVs) serve as mobile base stations using 2D uniform planar array (UPA) antennas for beam steering. This enables multiple IDs to be served within each cluster with fewer RF chains, further enhancing SE through spatial multiplexing and beam steering. In order to solve the energy efficiency (EE) maximization problem, we reformulate the optimization problem of HBF and power allocation (PA) as a Markov decision process (MDP) and solve it using multi-agent reinforcement learning (MARL). Simulation results show that our proposed Full-RL algorithm achieves up to 37.7 % higher EE compared to the baseline RL-based PA method. This baseline only uses RL for PA and relies on the averaged phase for analog beamforming without further optimization.","1938-1883","979-8-3315-0521-9","10.1109/ICC52391.2025.11160899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11160899","Non-orthogonal multiple access;air-ground network;deep reinforcement learning;hybrid beamforming","Radio frequency;NOMA;Base stations;Beam steering;Interference cancellation;Array signal processing;Energy efficiency;Internet of Things;Resource management;Optimization","","","","16","IEEE","26 Sep 2025","","","IEEE","IEEE Conferences"
